Time,Value
2015.0,59.9
2015.0,59.96666666666666
2015.0,58.9
2015.0,60.93333333333334
2015.0,65.05000000000001
2014.5,67.05000000000001
2015.0,60.1
2015.0,60.800000000000004
2015.0,64.66666666666667
2015.0,57.23333333333333
2015.0,57.76666666666667
2015.0,58.70000000000001
2015.0,61.5
2015.0,64.76666666666667
2015.0,62.73333333333333
2015.0,61.166666666666664
2015.0,59.6
2015.0,63.166666666666664
2015.0,63.03333333333333
2015.0,62.9
2015.0,63.79999999999999
2015.0,59.166666666666664
2015.0,60.1
2015.0,58.800000000000004
2015.0,63.300000000000004
2015.0,59.300000000000004
2015.0,60.5
2015.0,62.73333333333333
2015.0,59.6
2015.0,61.199999999999996
2015.0,62.96666666666666
2015.0,65.33333333333333
2015.0,58.56666666666666
2015.5,63.849999999999994
2015.0,63.20000000000001
2015.0,65.80000000000001
2015.0,58.46666666666667
2015.0,64.66666666666667
2015.0,65.03333333333335
2015.0,61.03333333333334
2015.0,59.63333333333333
2015.0,61.86666666666667
2016.0,63.8
2015.0,59.93333333333334
2015.0,57.73333333333333
2015.0,60.666666666666664
2015.0,61.53333333333333
2015.0,62.73333333333333
2015.0,60.26666666666667
2015.0,63.849999999999994
2015.0,58.96666666666667
2015.0,60.166666666666664
2015.0,61.03333333333333
2015.0,61.699999999999996
2015.0,64.53333333333333
2015.0,57.06666666666666
2015.0,61.76666666666667
2015.0,60.03333333333334
2015.0,64.0
2016.0,64.4
2015.0,63.666666666666664
2015.0,58.6
2015.0,59.633333333333326
2015.0,59.56666666666666
2015.0,65.33333333333333
2015.0,64.06666666666666
2015.0,61.366666666666674
2015.0,63.300000000000004
2015.0,61.333333333333336
2015.0,64.89999999999999
2015.0,61.6
2015.0,61.23333333333333
2015.0,58.866666666666674
2015.0,62.03333333333333
2015.0,61.4
2015.0,64.5
2015.0,62.0
2015.0,59.300000000000004
2015.0,65.63333333333333
2015.0,64.46666666666665
2014.0,62.6
2015.0,61.833333333333336
2015.0,59.46666666666667
2015.0,60.76666666666667
2015.0,60.56666666666666
2014.0,61.9
2015.0,61.6
2015.0,64.53333333333335
2015.0,63.333333333333336
2015.0,61.866666666666674
2015.0,61.699999999999996
2014.5,63.900000000000006
2015.0,57.03333333333334
2015.0,60.76666666666667
2015.0,61.93333333333334
2015.0,59.76666666666667
2015.0,59.43333333333334
2014.0,57.3
2015.0,58.43333333333334
2015.0,60.73333333333333
2015.0,56.43333333333334
2015.0,60.56666666666666
2015.0,61.5
2015.0,66.23333333333333
2015.0,58.03333333333333
2015.0,61.73333333333333
2015.0,61.70000000000001
2015.0,62.73333333333333
2015.0,58.666666666666664
2015.0,58.9
